# Vega (Alpha Lyrae), CALSPEC alpha_lyr_stis_012.fits
# Source: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/current_calspec/alpha_lyr_stis_012.fits
# wavelength_nm,flux_W_m-2_nm-1
185.285681,5.980500095e-11
185.422949,6.014400089e-11
185.560217,6.100099981e-11
185.697485,6.111700035e-11
185.834766,6.031299904e-11
185.972034,5.972100148e-11
186.109314,6.016600107e-11
186.246582,6.007800035e-11
186.383862,6.053099799e-11
186.521143,6.097200078e-11
186.658423,6.171799960e-11
186.795703,6.231700045e-11
186.932983,6.269099906e-11
187.070264,6.326399848e-11
187.207544,6.350899806e-11
187.344836,6.324099910e-11
187.482117,6.189900148e-11
187.619397,6.096899874e-11
187.756689,6.136399833e-11
187.893982,6.240500117e-11
188.031262,6.194099900e-11
188.168555,6.248699780e-11
188.305847,6.316700052e-11
188.443140,6.350199921e-11
188.580432,6.317499857e-11
188.717737,6.279199827e-11
188.855029,6.211600123e-11
188.992322,6.227800053e-11
189.129627,6.222700133e-11
189.266919,6.207700132e-11
189.404224,6.167499844e-11
189.541516,6.105699946e-11
189.678821,6.064900138e-11
189.816125,6.011000142e-11
189.953430,6.008200160e-11
190.090735,5.969699846e-11
190.228040,6.032200073e-11
190.365344,6.075299819e-11
190.502649,6.034500011e-11
190.639966,6.067800040e-11
190.777271,5.985400175e-11
190.914575,5.879499998e-11
191.051892,5.851899854e-11
191.189209,5.996500185e-11
191.326514,6.040899780e-11
191.463831,5.981000140e-11
191.601147,6.027899957e-11
191.738464,5.998999963e-11
191.875781,6.060799862e-11
192.013098,6.122899965e-11
192.150415,6.087899962e-11
192.287732,6.079099890e-11
192.425061,6.074599934e-11
192.562378,5.887200061e-11
192.699707,5.887499821e-11
192.837024,5.937499825e-11
192.974353,5.782100132e-11
193.111670,5.690099947e-11
193.248999,5.930600011e-11
193.386328,6.052800039e-11
193.523657,6.057999880e-11
193.660986,6.046899870e-11
193.798315,6.110699946e-11
193.935644,6.112999884e-11
194.072974,6.102999883e-11
194.210315,6.176399836e-11
194.347644,6.182600210e-11
194.484973,6.138300090e-11
194.622314,6.085000059e-11
194.759644,6.087499838e-11
194.896985,6.047600198e-11
195.034326,6.068599845e-11
195.171667,6.075299819e-11
195.308997,6.044400092e-11
195.446338,6.041799949e-11
195.583679,6.065400182e-11
195.721021,6.086600113e-11
195.858374,6.103200167e-11
195.995715,6.133900055e-11
196.133057,6.113300088e-11
196.270398,6.065400182e-11
196.407751,6.058999968e-11
196.545093,6.064099889e-11
196.682446,6.056399826e-11
196.819788,5.982899953e-11
196.957141,6.014400089e-11
197.094495,6.035699940e-11
197.231848,6.091600113e-11
197.369190,6.073400005e-11
197.506543,6.005199893e-11
197.643897,6.020899779e-11
197.781250,5.966000138e-11
197.918616,5.912999868e-11
198.055969,5.962100147e-11
198.193323,5.995699937e-11
198.330676,5.923399993e-11
198.468042,5.886799936e-11
198.605396,5.876600095e-11
198.742761,5.948499915e-11
198.880115,5.900400168e-11
199.017481,5.823999949e-11
199.154846,5.829900118e-11
199.292200,5.783900026e-11
199.429565,5.755699917e-11
199.566931,5.825500082e-11
199.704297,5.886600096e-11
199.841663,5.796399805e-11
199.979028,5.613599807e-11
200.116394,5.701799921e-11
200.253772,5.787700097e-11
200.391138,5.711799922e-11
200.528503,5.705799833e-11
200.665869,5.691199956e-11
200.803247,5.620000021e-11
200.940613,5.723100216e-11
201.077991,5.519300128e-11
201.215369,5.438499873e-11
201.352734,5.515699897e-11
201.490112,5.572600159e-11
201.627490,5.573599804e-11
201.764868,5.570900186e-11
201.902246,5.561799910e-11
202.039624,5.553300042e-11
202.177002,5.532399872e-11
202.314380,5.607999842e-11
202.451758,5.607899922e-11
202.589136,5.490799815e-11
202.726514,5.557700078e-11
202.863904,5.633800093e-11
203.001282,5.682299964e-11
203.138660,5.666799918e-11
203.276050,5.511299861e-11
203.413428,5.509900092e-11
203.550818,5.512100110e-11
203.688208,5.474900089e-11
203.825586,5.484300125e-11
203.962976,5.489800170e-11
204.100366,5.412200021e-11
204.237756,5.538100201e-11
204.375146,5.615000020e-11
204.512537,5.697499805e-11
204.649927,5.741000120e-11
204.787317,5.700099948e-11
204.924707,5.681899840e-11
205.062085,5.677700088e-11
205.199487,5.655400148e-11
205.336890,5.591799912e-11
205.474268,5.425900174e-11
205.611670,5.368399947e-11
205.749072,5.442200024e-11
205.886450,5.463700159e-11
206.023853,5.537499792e-11
206.161255,5.426199934e-11
